SampleID	Study_ID	Invasive_species	Organism	Family	Environment	Sample_type	Geographical_location
KOA-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-6	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
KOA-9	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
LAV-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
NLM-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
OLA-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
OLA-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
OLA-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PMK-4	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PMK-5	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Invaded	19.52 N 155.28 W
PUU-1	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
PUU-2	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
PUU-3	MPG87547	Sus scrofa	Mammal	Suidae	Soil	Control	19.52 N 155.28 W
SRR2559243	PRJNA296487	Alianthus altissima	Plant	Simaroubaceae	Soil	Invaded	38.88553 N 78.13844 W
